id,iiif_url,width,height
1,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/05/97/110597427346997840993822653008536006102.jp2/info.json,8266,6610
2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/82/46/168246328900255934316127517352294922259.jp2/info.json,8231,6604
3,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/36/94/51/36945115243342237393756087358978626618.jp2/info.json,8290,6595
4,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/63/95/54/63955480022634584735280409726046094404.jp2/info.json,8279,6603
5,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/53/81/48/53814865026884933828140922721832806847.jp2/info.json,8256,6595
6,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/85/24/06/85240657379710719811209319760234822982.jp2/info.json,8273,6612
7,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/83/35/128335182764425323548267100405898651851.jp2/info.json,8245,6622
8,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/99/02/119902900461335203939951308844637310258.jp2/info.json,8262,6614
9,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/66/29/106629073060866342978570549718257046059.jp2/info.json,8283,6611
10,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/51/63/17/51631704162343258275166983748824838196.jp2/info.json,8247,6621
11,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/28/90/122890342120749764537662945200200842502.jp2/info.json,8240,6623
12,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/35/37/94/35379427539621720950129039718941287333.jp2/info.json,8291,6597
13,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/13/10/161310564898231108670735929179976284531.jp2/info.json,8264,6621
14,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/86/06/138606831231281031133422066393547202578.jp2/info.json,8253,6577
15,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/30/20/103020604202896194806790792381214343220.jp2/info.json,8268,6603
16,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/99/62/66/99626619327220742518110308277653545737.jp2/info.json,8240,6589
17,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/67/04/48/6704484077646867805828970929912984529.jp2/info.json,8305,6628
18,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/80/97/108097585251290423805257317115541655683.jp2/info.json,8246,6599
