oid;purl;iiif
vt525bq0826;http://purl.stanford.edu/vt525bq0826;https://stacks.stanford.edu/image/iiif/vt525bq0826/vt525bq0826_00_0001
hq532pz2291;http://purl.stanford.edu/hq532pz2291;https://stacks.stanford.edu/image/iiif/hq532pz2291/hq532pz2291_00_0001
cz212fz0454;http://purl.stanford.edu/cz212fz0454;https://stacks.stanford.edu/image/iiif/cz212fz0454/cz212fz0454_00_0001
zy137xp9883;http://purl.stanford.edu/zy137xp9883;https://stacks.stanford.edu/image/iiif/zy137xp9883/zy137xp9883_00_0001
pc939sb4521;http://purl.stanford.edu/pc939sb4521;https://stacks.stanford.edu/image/iiif/pc939sb4521/pc939sb4521_00_0001
vy146qm4988;http://purl.stanford.edu/vy146qm4988;https://stacks.stanford.edu/image/iiif/vy146qm4988/vy146qm4988_00_0001
yf232wp9182;http://purl.stanford.edu/yf232wp9182;https://stacks.stanford.edu/image/iiif/yf232wp9182/yf232wp9182_00_0001
fc613fr0605;http://purl.stanford.edu/fc613fr0605;https://stacks.stanford.edu/image/iiif/fc613fr0605/fc613fr0605_00_0001
yk015sg2155;http://purl.stanford.edu/yk015sg2155;https://stacks.stanford.edu/image/iiif/yk015sg2155/yk015sg2155_00_0001
rr692vw9381;http://purl.stanford.edu/rr692vw9381;https://stacks.stanford.edu/image/iiif/rr692vw9381/rr692vw9381_00_0001
vg035sz9311;http://purl.stanford.edu/vg035sz9311;https://stacks.stanford.edu/image/iiif/vg035sz9311/vg035sz9311_00_0001
cb449nn6254;http://purl.stanford.edu/cb449nn6254;https://stacks.stanford.edu/image/iiif/cb449nn6254/cb449nn6254_00_0001
vs313hw6981;http://purl.stanford.edu/vs313hw6981;https://stacks.stanford.edu/image/iiif/vs313hw6981/vs313hw6981_00_0001
gd795yk1227;http://purl.stanford.edu/gd795yk1227;https://stacks.stanford.edu/image/iiif/gd795yk1227/gd795yk1227_00_0001
gv306vh3285;http://purl.stanford.edu/gv306vh3285;https://stacks.stanford.edu/image/iiif/gv306vh3285/gv306vh3285_00_0001
xt994dv1395;http://purl.stanford.edu/xt994dv1395;https://stacks.stanford.edu/image/iiif/xt994dv1395/xt994dv1395_00_0001
qj546sn2401;http://purl.stanford.edu/qj546sn2401;https://stacks.stanford.edu/image/iiif/qj546sn2401/qj546sn2401_00_0001
vt648fk3015;http://purl.stanford.edu/vt648fk3015;https://stacks.stanford.edu/image/iiif/vt648fk3015/vt648fk3015_00_0001
xb080fh8320;http://purl.stanford.edu/xb080fh8320;https://stacks.stanford.edu/image/iiif/xb080fh8320/xb080fh8320_00_0001
bd076tc0298;http://purl.stanford.edu/bd076tc0298;https://stacks.stanford.edu/image/iiif/bd076tc0298/bd076tc0298_00_0001
ws561yn9597;http://purl.stanford.edu/ws561yn9597;https://stacks.stanford.edu/image/iiif/ws561yn9597/ws561yn9597_00_0001
kb538gn9888;http://purl.stanford.edu/kb538gn9888;https://stacks.stanford.edu/image/iiif/kb538gn9888/kb538gn9888_00_0001
vb937nz2270;http://purl.stanford.edu/vb937nz2270;https://stacks.stanford.edu/image/iiif/vb937nz2270/vb937nz2270_00_0001
py659kw8652;http://purl.stanford.edu/py659kw8652;https://stacks.stanford.edu/image/iiif/py659kw8652/py659kw8652_00_0001
cs737tb1378;http://purl.stanford.edu/cs737tb1378;https://stacks.stanford.edu/image/iiif/cs737tb1378/cs737tb1378_00_0001
bs445zj3498;http://purl.stanford.edu/bs445zj3498;https://stacks.stanford.edu/image/iiif/bs445zj3498/bs445zj3498_00_0001
nh479mb0291;http://purl.stanford.edu/nh479mb0291;https://stacks.stanford.edu/image/iiif/nh479mb0291/nh479mb0291_00_0001
hj587qb2191;http://purl.stanford.edu/hj587qb2191;https://stacks.stanford.edu/image/iiif/hj587qb2191/hj587qb2191_00_0001
vs914db5108;http://purl.stanford.edu/vs914db5108;https://stacks.stanford.edu/image/iiif/vs914db5108/vs914db5108_00_0001
pr727gk1392;http://purl.stanford.edu/pr727gk1392;https://stacks.stanford.edu/image/iiif/pr727gk1392/pr727gk1392_00_0001
xr546xx2851;http://purl.stanford.edu/xr546xx2851;https://stacks.stanford.edu/image/iiif/xr546xx2851/xr546xx2851_00_0001
