uuid	thumbnail	original_url	iiif_endpoint_url	edition	sheet_id	sub_sheet_id	sub_sub_sheet_id	sheet_title	year	image_name	manual_sheet_id	manual_sub_sheet_id
f2533887-e1d3-4a0f-a229-36e2a12c1d37	https://dlc.services/iiif-img/7/32/f2533887-e1d3-4a0f-a229-36e2a12c1d37/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/25-Amsterdam-2.jpg	https://dlc.services/iiif-img/7/32/f2533887-e1d3-4a0f-a229-36e2a12c1d37	1	25	2	-1	Amsterdam	-1	25-Amsterdam-2	25	2
cd3dff12-9cf2-4a28-ac66-fc1bf5b52793	https://dlc.services/iiif-img/7/32/cd3dff12-9cf2-4a28-ac66-fc1bf5b52793/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/25-Amsterdam-3.jpg	https://dlc.services/iiif-img/7/32/cd3dff12-9cf2-4a28-ac66-fc1bf5b52793	1	25	3	-1	Amsterdam	-1	25-Amsterdam-3	25	3
39e4b40b-4b33-465c-8e4c-9e9898143bb8	https://dlc.services/iiif-img/7/32/39e4b40b-4b33-465c-8e4c-9e9898143bb8/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/25-Amsterdam-4.jpg	https://dlc.services/iiif-img/7/32/39e4b40b-4b33-465c-8e4c-9e9898143bb8	1	25	4	-1	Amsterdam	-1	25-Amsterdam-4	25	4
e99c692c-c4a8-42da-9bf2-1c5c4544493e	https://dlc.services/iiif-img/7/32/e99c692c-c4a8-42da-9bf2-1c5c4544493e/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/26-Harderwijk-1.jpg	https://dlc.services/iiif-img/7/32/e99c692c-c4a8-42da-9bf2-1c5c4544493e	1	26	1	-1	Harderwijk	-1	26-Harderwijk-1	26	3
0298ef86-582f-47e6-a19f-21da52d6408b	https://dlc.services/iiif-img/7/32/0298ef86-582f-47e6-a19f-21da52d6408b/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/26-Harderwijk-2.jpg	https://dlc.services/iiif-img/7/32/0298ef86-582f-47e6-a19f-21da52d6408b	1	26	2	-1	Harderwijk	-1	26-Harderwijk-2	26	4
b3f80f31-e91c-42c9-8c1d-56e797d95024	https://dlc.services/iiif-img/7/32/b3f80f31-e91c-42c9-8c1d-56e797d95024/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/27-Hattem-1.jpg	https://dlc.services/iiif-img/7/32/b3f80f31-e91c-42c9-8c1d-56e797d95024	1	27	1	-1	Hattem	-1	27-Hattem-1	27	1
e9279173-9ac7-4d71-819e-8b1d2b4ec105	https://dlc.services/iiif-img/7/32/e9279173-9ac7-4d71-819e-8b1d2b4ec105/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/27-Hattem-2.jpg	https://dlc.services/iiif-img/7/32/e9279173-9ac7-4d71-819e-8b1d2b4ec105	1	27	2	-1	Hattem	-1	27-Hattem-2	27	2
8b4fa931-4616-45df-a826-833e99e97b31	https://dlc.services/iiif-img/7/32/8b4fa931-4616-45df-a826-833e99e97b31/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/27-Hattem-3.jpg	https://dlc.services/iiif-img/7/32/8b4fa931-4616-45df-a826-833e99e97b31	1	27	3	-1	Hattem	-1	27-Hattem-3	27	3
c9e71770-2990-4067-86c8-07efd5ca5a4c	https://dlc.services/iiif-img/7/32/c9e71770-2990-4067-86c8-07efd5ca5a4c/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/27-Hattem-4.jpg	https://dlc.services/iiif-img/7/32/c9e71770-2990-4067-86c8-07efd5ca5a4c	1	27	4	-1	Hattem	-1	27-Hattem-4	27	4
aba8d4fb-7bb4-472e-b915-7670660b1078	https://dlc.services/iiif-img/7/32/aba8d4fb-7bb4-472e-b915-7670660b1078/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/28-Almelo-1.jpg	https://dlc.services/iiif-img/7/32/aba8d4fb-7bb4-472e-b915-7670660b1078	1	28	1	-1	Almelo	-1	28-Almelo-1	28	1
ed555c54-a875-422c-8dc1-88897043f9d8	https://dlc.services/iiif-img/7/32/ed555c54-a875-422c-8dc1-88897043f9d8/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/28-Almelo-2.jpg	https://dlc.services/iiif-img/7/32/ed555c54-a875-422c-8dc1-88897043f9d8	1	28	2	-1	Almelo	-1	28-Almelo-2	28	2
5bbd723a-9140-486c-8566-0ef71aceddd1	https://dlc.services/iiif-img/7/32/5bbd723a-9140-486c-8566-0ef71aceddd1/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/28-Almelo-3.jpg	https://dlc.services/iiif-img/7/32/5bbd723a-9140-486c-8566-0ef71aceddd1	1	28	3	-1	Almelo	-1	28-Almelo-3	28	3
9763db67-8c4f-4809-b804-6c3c619e1442	https://dlc.services/iiif-img/7/32/9763db67-8c4f-4809-b804-6c3c619e1442/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/28-Almelo-4.jpg	https://dlc.services/iiif-img/7/32/9763db67-8c4f-4809-b804-6c3c619e1442	1	28	4	-1	Almelo	-1	28-Almelo-4	28	4
c0514e7f-c272-46f9-bc14-ac84b5181edc	https://dlc.services/iiif-img/7/32/c0514e7f-c272-46f9-bc14-ac84b5181edc/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/29-Denekamp-1.jpg	https://dlc.services/iiif-img/7/32/c0514e7f-c272-46f9-bc14-ac84b5181edc	1	29	1	-1	Denekamp	-1	29-Denekamp-1	29	1
fbd1b372-43ff-4357-b8b7-00169b86b047	https://dlc.services/iiif-img/7/32/fbd1b372-43ff-4357-b8b7-00169b86b047/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/29-Denekamp-2.jpg	https://dlc.services/iiif-img/7/32/fbd1b372-43ff-4357-b8b7-00169b86b047	1	29	2	-1	Denekamp	-1	29-Denekamp-2	29	3
b4970451-a70c-4182-9377-8ac2bc2fe4a5	https://dlc.services/iiif-img/7/32/b4970451-a70c-4182-9377-8ac2bc2fe4a5/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/30-s-Gravenhage-1.jpg	https://dlc.services/iiif-img/7/32/b4970451-a70c-4182-9377-8ac2bc2fe4a5	1	30	1	-1	s Gravenhage	-1	30-s-Gravenhage-1	30	2
cb37fbd1-694c-48d4-abea-87943a3f2f9f	https://dlc.services/iiif-img/7/32/cb37fbd1-694c-48d4-abea-87943a3f2f9f/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/30-s-Gravenhage-2.jpg	https://dlc.services/iiif-img/7/32/cb37fbd1-694c-48d4-abea-87943a3f2f9f	1	30	2	-1	s Gravenhage	-1	30-s-Gravenhage-2	30	3
ea7c2502-9c6a-48ae-a33d-7f332727325f	https://dlc.services/iiif-img/7/32/ea7c2502-9c6a-48ae-a33d-7f332727325f/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/30-s-Gravenhage-3.jpg	https://dlc.services/iiif-img/7/32/ea7c2502-9c6a-48ae-a33d-7f332727325f	1	30	3	-1	s Gravenhage	-1	30-s-Gravenhage-3	30	4
12bacde9-6f18-42d7-b3f1-c6b44cd1149c	https://dlc.services/iiif-img/7/32/12bacde9-6f18-42d7-b3f1-c6b44cd1149c/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/31-Utrecht-1.jpg	https://dlc.services/iiif-img/7/32/12bacde9-6f18-42d7-b3f1-c6b44cd1149c	1	31	1	-1	Utrecht	-1	31-Utrecht-1	31	1
cea8b5d7-dbe2-482d-88fc-bef755db648b	https://dlc.services/iiif-img/7/32/cea8b5d7-dbe2-482d-88fc-bef755db648b/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/31-Utrecht-2.jpg	https://dlc.services/iiif-img/7/32/cea8b5d7-dbe2-482d-88fc-bef755db648b	1	31	2	-1	Utrecht	-1	31-Utrecht-2	31	2
64995aab-1d29-4e43-af43-c86d80f38223	https://dlc.services/iiif-img/7/32/64995aab-1d29-4e43-af43-c86d80f38223/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/31-Utrecht-3.jpg	https://dlc.services/iiif-img/7/32/64995aab-1d29-4e43-af43-c86d80f38223	1	31	3	-1	Utrecht	-1	31-Utrecht-3	31	3
3ccae506-0a3e-4f02-889d-35a1f6669e34	https://dlc.services/iiif-img/7/32/3ccae506-0a3e-4f02-889d-35a1f6669e34/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/31-Utrecht-4.jpg	https://dlc.services/iiif-img/7/32/3ccae506-0a3e-4f02-889d-35a1f6669e34	1	31	4	-1	Utrecht	-1	31-Utrecht-4	31	4
9a346806-a89b-4fa7-967a-80c15e4588c4	https://dlc.services/iiif-img/7/32/9a346806-a89b-4fa7-967a-80c15e4588c4/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/32-Amersfoort-1.jpg	https://dlc.services/iiif-img/7/32/9a346806-a89b-4fa7-967a-80c15e4588c4	1	32	1	-1	Amersfoort	-1	32-Amersfoort-1	32	1
90e79adb-76c1-4cbb-bc99-00a85e7523e4	https://dlc.services/iiif-img/7/32/90e79adb-76c1-4cbb-bc99-00a85e7523e4/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/32-Amersfoort-2.jpg	https://dlc.services/iiif-img/7/32/90e79adb-76c1-4cbb-bc99-00a85e7523e4	1	32	2	-1	Amersfoort	-1	32-Amersfoort-2	32	2
5a33c7da-8791-4266-b5e8-54f9b7c71d9d	https://dlc.services/iiif-img/7/32/5a33c7da-8791-4266-b5e8-54f9b7c71d9d/full/512,/0/default.jpg	https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/32-Amersfoort-3.jpg	https://dlc.services/iiif-img/7/32/5a33c7da-8791-4266-b5e8-54f9b7c71d9d	1	32	3	-1	Amersfoort	-1	32-Amersfoort-3	32	3
